,BedNumber,BathNumber,HouseSize,LotSize,ZipCode,Price
0,,,600.0,3630.0,"Los Angeles, CA 90001",330000.0
1,5.0,4.5,3871.0,13095.0,"Woodland Hills, CA 91364",1950000.0
2,4.0,3.0,2641.0,6877.0,"Granada Hills, CA 91344",899000.0
3,5.0,3.0,2751.0,7592.0,"Northridge, CA 91343",949000.0
4,5.0,6.0,3398.0,18769.5,"Woodland Hills, CA 91367",2950000.0
5,3.0,1.0,1008.0,6650.0,"Sun Valley, CA 91352",649999.0
6,2.0,3.0,1201.0,30991.5,"Woodland Hills, CA 91364",485000.0
7,5.0,5.0,5274.0,11785.5,"Northridge, CA 91325",1599000.0
8,3.0,3.0,1575.0,10912.5,"Sylmar, CA 91342",829000.0
9,3.0,2.0,1853.0,7200.0,"Canoga Park, CA 91304",799900.0
10,2.0,2.5,1410.0,1998.0,"Van Nuys, CA 91405",624900.0
11,4.0,3.0,2446.0,4728.0,"Porter Ranch, CA 91326",1149000.0
12,4.0,2.0,1838.0,11349.0,"Porter Ranch, CA 91326",999900.0
13,4.0,2.0,1833.0,10039.5,"West Hills, CA 91307",799000.0
14,3.0,2.0,1774.0,12658.5,"Sherman Oaks, CA 91423",1649999.0
15,3.0,2.5,1452.0,63292.5,"Chatsworth, CA 91311",474900.0
16,4.0,3.0,3024.0,12222.000000000002,"Sherman Oaks, CA 91403",1736000.0
17,5.0,3.0,2310.0,12222.000000000002,"Porter Ranch, CA 91326",1099000.0
18,4.0,2.0,2132.0,8137.0,"North Hills, CA 91343",875000.0
19,4.0,4.0,3283.0,18769.5,"Studio City, CA 91604",2299000.0
20,4.0,2.0,1342.0,8512.0,"Winnetka, CA 91306",749900.0
21,4.0,2.0,1656.0,6687.0,"Northridge, CA 91324",749000.0
22,3.0,1.0,1416.0,6757.0,"Panorama City, CA 91402",675000.0
23,4.0,2.0,1600.0,7800.0,"Northridge, CA 91324",865000.0
24,3.0,2.5,1746.0,36229.5,"Westwood Century City, CA 90024",1159000.0
25,3.0,2.0,1275.0,7486.0,"Los Angeles, CA 90065",1280000.0
26,4.0,3.0,2386.0,5109.0,"Tarzana, CA 91335",1199000.0
27,3.0,2.0,2471.0,16587.0,"Tarzana, CA 91356",1499000.0
28,4.0,3.0,2723.0,9426.0,"Granada Hills, CA 91344",1285000.0
29,4.0,2.0,1788.0,11349.0,"Northridge, CA 91326",1000000.0
